,preferred,bias,member,Time
910,Balles,,52,223.0
911,Eastburn,,58,223.0
912,Coldwell,,6,223.0
913,Coldwell,,22,223.0
914,Staff,proposal,15,223.0
915,11.053,LE,4,224.0
916,11.750,,36,224.0
917,11.750,,57,224.0
918,11.811,A,59,224.0
919,12.000,,7,224.0
920,12.000,,13,224.0
921,12.000,,14,224.0
922,12.000,,45,224.0
923,12.000,,70,224.0
924,12.000,,82,224.0
925,12.250,,32,224.0
926,10.750,,22,224.0
927,11.500,,58,224.0
928,11.750,,6,224.0
929,11.750,,14,225.0
930,Sheehan,,4,225.0
931,Winn,,82,225.0
932,Kimbrel,,57,225.0
933,Hayes,,7,225.0
934,Balles,,13,225.0
935,Eastburn,,36,225.0
936,MacLaury,,70,225.0
937,Mayo,,59,225.0
938,Morris,,45,225.0
939,Francis,,32,225.0
940,Coldwell,,6,225.0
941,Coldwell,,22,225.0
942,Staff,proposal,52,225.0
943,Staff,proposal,58,225.0
944,Number,(voters),26,225.0
945,0,,15,225.0
946,9.500,,82,226.0
947,9.625,,36,226.0
948,9.750,,7,226.0
949,9.750,,4,226.0
950,9.750,,13,226.0
951,9.750,,70,226.0
952,9.750,,59,226.0
953,9.875,,45,226.0
954,10.000,,14,226.0
955,10.000,,57,226.0
956,10.500,,32,226.0
957,9.375,,52,226.0
958,9.375,,58,226.0
959,9.750,,15,226.0
960,9.750,,22,226.0
961,9.750,,4,227.0
962,Hayes,,36,227.0
963,Mitchell,,7,227.0
964,Sheehan,,13,227.0
965,Wallich,,15,227.0
966,Winn,,32,227.0
967,Clay,,57,227.0
968,Kimbrel,,70,227.0
969,Morris,,82,227.0
970,Eastburn,,59,227.0
971,MacLaury,,14,227.0
972,Mayo,,45,227.0
973,Balles,,58,227.0
974,Francis,,22,227.0
975,Plant,,52,227.0
976,Plant,,6,227.0
977,Staff,proposal,26,227.0
978,7.788,LE,57,228.0
979,8.210,A,4,228.0
980,8.000,,15,228.0
981,8.000,,82,228.0
982,8.000,,59,228.0
983,8.250,,7,228.0
984,8.250,,13,228.0
985,8.250,,36,228.0
986,8.250,,45,228.0
987,8.250,,70,228.0
988,8.500,,32,228.0
989,8.750,,14,228.0
990,7.375,,58,228.0
991,7.814,LE,52,228.0
992,7.847,LE,6,228.0
993,8.000,,22,228.0
994,8.000,,5,228.0
995,8.375,,26,228.0
996,Mitchell,,70,229.0
997,Wallich,,4,229.0
998,Black,,59,229.0
999,Holland,,14,229.0
1000,Kimbrel,,57,229.0
1001,Coldwell,,82,229.0
1002,Debs,,7,229.0
1003,Burns,,36,229.0
1004,Balles,,45,229.0
1005,Eastburn,,15,229.0
1006,Morris,,18,229.0
1007,MacLaury,,13,229.0
1008,Mayo,,6,229.0
1009,Baughman,,22,229.0
1010,Francis,,58,229.0
1011,Francis,,52,229.0
1012,Staff,proposal,5,229.0
1013,Staff,proposal,26,229.0
1014,5.718,A,4,230.0
1015,5.250,,59,230.0
1016,5.250,,14,230.0
1017,5.500,,15,230.0
1018,5.500,,13,230.0
1019,5.750,,7,230.0
1020,5.750,,36,230.0
1021,5.750,,57,230.0
1022,6.000,,32,230.0
1023,6.000,,45,230.0
